classifier,precision_no,recall_no,f1-score_no,precision_yes,recall_yes,f1-score_yes,accuracy,precision_macro avg,recall_macro avg,f1-score_macro avg,matthews_corrcoef
BernoulliNB,0.72,0.98,0.83,0.5,0.05,0.08,0.71,0.61,0.51,0.46,0.08
ComplementNB,0.86,0.63,0.73,0.46,0.75,0.57,0.67,0.66,0.69,0.65,0.35
MultinomialNB,0.77,0.94,0.85,0.7,0.33,0.44,0.76,0.74,0.63,0.65,0.36
LinearSVC,0.78,0.95,0.85,0.72,0.34,0.46,0.77,0.75,0.64,0.66,0.38
SVC,0.75,0.95,0.84,0.65,0.21,0.32,0.74,0.7,0.58,0.58,0.25
MLPClassifier,0.84,0.89,0.87,0.69,0.59,0.63,0.8,0.76,0.74,0.75,0.5
RandomForestClassifier,0.85,0.87,0.86,0.66,0.62,0.64,0.8,0.76,0.75,0.75,0.51
AdaBoostClassifier,0.85,0.92,0.89,0.76,0.62,0.68,0.83,0.81,0.77,0.78,0.57
BaggingClassifier,0.84,0.87,0.85,0.65,0.59,0.62,0.79,0.74,0.73,0.74,0.47
ExtraTreesClassifier,0.84,0.87,0.85,0.65,0.6,0.62,0.79,0.75,0.73,0.74,0.48
GradientBoostingClassifier,0.85,0.91,0.88,0.74,0.61,0.67,0.82,0.79,0.76,0.77,0.56
LogisticRegression,0.82,0.92,0.87,0.71,0.51,0.6,0.8,0.77,0.71,0.73,0.48
DecisionTreeClassifier,0.83,0.84,0.83,0.6,0.59,0.59,0.76,0.71,0.71,0.71,0.42
SGDClassifier,0.82,0.75,0.78,0.49,0.6,0.54,0.71,0.66,0.67,0.66,0.33
