classifier,precision_no,recall_no,f1_no,precision_yes,recall_yes,f1_yes,accuracy,precision_macro,recall_macro,f1_macro,matthews_corrcoef
DummyClassifier,0.72,0.72,0.72,0.31,0.3,0.3,0.6,0.51,0.51,0.51,0.02
BernoulliNB,0.87,0.74,0.8,0.54,0.74,0.62,0.74,0.71,0.74,0.71,0.45
ComplementNB,0.76,0.92,0.83,0.61,0.3,0.4,0.74,0.68,0.61,0.62,0.29
MultinomialNB,0.75,0.99,0.86,0.93,0.18,0.31,0.76,0.84,0.59,0.58,0.35
LinearSVC,0.79,0.93,0.86,0.7,0.41,0.52,0.78,0.75,0.67,0.69,0.41
SVC,0.76,0.98,0.86,0.85,0.22,0.35,0.76,0.8,0.6,0.6,0.36
MLPClassifier,0.79,0.88,0.84,0.6,0.43,0.5,0.75,0.7,0.66,0.67,0.35
RandomForestClassifier,0.77,0.95,0.85,0.7,0.3,0.42,0.76,0.73,0.62,0.64,0.34
AdaBoostClassifier,0.84,0.81,0.82,0.57,0.61,0.59,0.75,0.7,0.71,0.7,0.41
BaggingClassifier,0.79,0.86,0.82,0.55,0.42,0.48,0.73,0.67,0.64,0.65,0.31
ExtraTreesClassifier,0.78,0.96,0.86,0.79,0.34,0.48,0.78,0.79,0.65,0.67,0.42
GradientBoostingClassifier,0.78,0.93,0.85,0.68,0.37,0.48,0.77,0.73,0.65,0.66,0.37
LogisticRegression,0.76,0.99,0.86,0.94,0.21,0.34,0.77,0.85,0.6,0.6,0.38
DecisionTreeClassifier,0.79,0.82,0.81,0.51,0.47,0.49,0.72,0.65,0.65,0.65,0.3
SGDClassifier,0.79,0.86,0.83,0.57,0.45,0.5,0.74,0.68,0.65,0.66,0.33
Voting,0.79,0.94,0.86,0.71,0.39,0.51,0.78,0.75,0.67,0.68,0.41
